time,open,high,low,close,Basis,Upper,Lower,Plot,Plot,Shapes,Shapes,Basis,Upper,Lower,Volume,Vwap midle Line,Plot,RSI Color,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Infinity Reversal Line,Volume EMA,Infinty X Trend
2019-09-08,10000,10412.65,10000,10391.63,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,3096.291,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-09,10316.62,10475.54,10077.22,10307,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,14824.373,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-10,10307,10382.97,9940.87,10102.02,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,9068.955,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-11,10094.27,10293.11,9884.31,10159.55,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,10897.922,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-12,10163.06,10450.13,10042.12,10415.13,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,15609.634,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-13,10414.96,10440.55,10153.51,10341.34,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,19252.721,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-14,10343.01,10419.97,10222.77,10332.25,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,20656.624,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-15,10333.47,10359.2,10024.81,10302.22,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,20536.255,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-16,10302,10353.81,10080.7,10249.27,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,20185.637,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-17,10257.3,10270.63,10136.77,10186.52,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,22519.607,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-18,10183.87,10256.65,10097.92,10155.16,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,20832.895,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-19,10154.7,10331.62,9530.02,10245.3,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,26228.754,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-20,10247.7,10279.3,10070.5,10166.35,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,23265.91,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-21,10166.56,10175.3,9912.63,9983.33,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,23642.387,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-22,9992.7,10089.52,9857,10023.04,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,23916.354,50,NaN,35.309403671553056,NaN,NaN,NaN,NaN,35.309403671553056,NaN,35.309403671553056,NaN,102,99,96
2019-09-23,10027.69,10046.91,9620,9701.96,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,31927.062,50,NaN,27.680009613651364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-24,9701.1,9792.83,7761.75,8495.83,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,74464.44,50,NaN,14.769696365729175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-25,8493.32,8725.24,8200,8430.07,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,48222.102,50,NaN,14.376000379691334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-26,8428.15,8464.4,7700.67,8060.15,NaN,NaN,NaN,NaN,NaN,0,0,9811.232,11371.692115922215,8250.771884077785,60065.945,50,NaN,12.37730660341127,12.37730660341127,NaN,12.37730660341127,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-27,8061.98,8260,7851.94,8176.52,NaN,NaN,NaN,NaN,NaN,0,0,9701.4195,11387.131160474284,8015.707839525716,40034.653,50,NaN,16.318740940440364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-28,8178.26,8311,8001.14,8195.38,NaN,NaN,NaN,NaN,NaN,0,0,9588.1675,11395.855348682675,7780.479651317325,33820.919,50,NaN,16.970601829414605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-29,8199,8226.35,7888.98,8041.96,NaN,NaN,NaN,NaN,NaN,0,0,9497.3585,11373.831991806093,7620.885008193906,35966.056,50,NaN,15.8864770016351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-09-30,8042.08,8331.89,7709.01,8285.84,NaN,NaN,NaN,NaN,NaN,0,0,9403.881000000001,11324.829720397267,7482.9322796027345,54412.52,50,NaN,24.17837628416838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-01,8285.31,8499,8171,8290,NaN,NaN,NaN,NaN,NaN,0,0,9300.7315,11214.939332815193,7386.523667184808,39212.804,50,NaN,24.315432065133905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-02,8290,8365.92,8149.35,8352.14,NaN,NaN,NaN,NaN,NaN,0,0,9194.678000000002,11101.536266443494,7287.81973355651,30329.179,50,NaN,26.454013811317992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-03,8353.4,8386,8020,8220.27,NaN,NaN,NaN,NaN,NaN,0,0,9084.5935,10970.141025863757,7199.045974136245,33430.23,50,NaN,24.849318988861896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-04,8219.95,8227.42,7979.95,8130.56,NaN,NaN,NaN,NaN,NaN,0,0,8975.5895,10818.549747389765,7132.629252610234,28421.111,50,NaN,23.791987579338965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-05,8130,8175,8010,8122.14,NaN,NaN,NaN,NaN,NaN,0,0,8855.765500000001,10663.182067861113,7048.348932138889,30262.006,50,NaN,23.690100418041553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-06,8122.01,8148.43,7760,7852.79,NaN,NaN,NaN,NaN,NaN,0,0,8755.783500000001,10476.849769221175,7034.717230778828,41909.039,50,NaN,20.644440383332935,20.644440383332935,NaN,20.644440383332935,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-07,7851.01,8330,7764.42,8186.88,NaN,NaN,NaN,NaN,NaN,0,0,8656.406500000001,10268.889769163097,7043.923230836905,62760.299,50,NaN,32.27486526426685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-08,8188.55,8322.01,8103.88,8167.62,NaN,NaN,NaN,NaN,NaN,0,0,8572.130000000001,10010.407925604046,7133.852074395955,44715.165,50,NaN,31.983842906245926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-09,8168.33,8700,8113,8559.77,NaN,NaN,NaN,NaN,NaN,0,0,8491.613500000001,9730.34518560866,7252.881814391342,65453.643,50,NaN,43.21179775757472,NaN,NaN,NaN,NaN,43.21179775757472,NaN,43.21179775757472,43.21179775757472,102,99,96
2019-10-10,8559.77,8640.89,8419.34,8556.02,NaN,NaN,NaN,NaN,NaN,0,0,8405.226,9439.974146969082,7370.4778530309195,44285.668,50,NaN,43.138461802213364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-11,8557,8788,8210,8255.58,NaN,NaN,NaN,NaN,NaN,0,0,8319.085000000001,9040.031228521866,7598.138771478136,69157.964,50,NaN,37.62856522408125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-12,8255.54,8397.45,8248.34,8300.22,NaN,NaN,NaN,NaN,NaN,0,0,8247.720000000001,8590.236677725185,7905.203322274819,37761.514,50,NaN,38.877757210230065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-13,8300.31,8456,8137.3,8274.66,NaN,NaN,NaN,NaN,NaN,0,0,8240.231000000002,8566.904196629092,7913.557803370912,43820.913,50,NaN,38.403476628121716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-14,8274.33,8381.77,8205.02,8346.05,NaN,NaN,NaN,NaN,NaN,0,0,8226.728000000001,8543.05910176508,7910.396898234922,61999.821,50,NaN,40.583699852563484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-15,8346.31,8408.62,8080,8160.01,NaN,NaN,NaN,NaN,NaN,0,0,8223.331000000002,8548.091373130568,7898.570626869436,86246.749,50,NaN,36.916620326193744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-16,8160.55,8184,7900.24,7992.21,NaN,NaN,NaN,NaN,NaN,0,0,8217.965,8549.125298375284,7886.804701624716,70434.452,50,NaN,33.93793633900057,33.93793633900057,NaN,33.93793633900057,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-17,7994.76,8124.63,7930,8069.2,NaN,NaN,NaN,NaN,NaN,0,0,8205.393,8557.459536558144,7853.326463441855,58354.602,50,NaN,36.47075017138753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-18,8069.41,8117.3,7812,7943.94,NaN,NaN,NaN,NaN,NaN,0,0,8200.651500000002,8563.775177568525,7837.527822431479,75251.352,50,NaN,34.17501088702306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-19,7945.57,8108.54,7852.12,7947.13,NaN,NaN,NaN,NaN,NaN,0,0,8197.270999999999,8558.412909387534,7836.129090612462,78024.395,50,NaN,34.28845514163375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-20,7947.78,8300.5,7871.17,8218.23,NaN,NaN,NaN,NaN,NaN,0,0,8192.858,8551.508026270734,7834.207973729265,78663.915,50,NaN,43.24106156034105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-21,8218.23,8334.57,8150,8201.74,NaN,NaN,NaN,NaN,NaN,0,0,8176.2955,8534.587312938824,7818.003687061176,59928.516,50,NaN,42.85857047514715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
2019-10-22,8201,8290,8000,8020.89,NaN,NaN,NaN,NaN,NaN,0,0,8138.531999999999,8611.2583498305,7665.805650169498,69506.88,50,NaN,38.804514294268856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,99,96
